"season","date","weekday","region_num","region_name","temp_real","temp_feel","weather_num","weather_text","humidity","wind_text","wind_speed","pressure"
"4","6 Октября","воскресенье","1","Угольная","19°C","18°C","2","Малооблачно, кучевые облака","73%","Ю","2-3 м/с","765мм.рт.ст."
"4","6 Октября","воскресенье","2","Санаторная","17°C","17°C","3","Пасмурно","79%","Зап.","1-2 м/с","765мм.рт.ст."
"4","6 Октября","воскресенье","3","Заря","17°C","15°C","3","Облачно","73%","Ю","4-5 м/с","765мм.рт.ст."
"4","6 Октября","воскресенье","4","Столетия","17°C","15°C","2","Малооблачно, кучевые облака","73%","Ю","4-5 м/с","765мм.рт.ст."
"4","6 Октября","воскресенье","5","БАМ","17°C","15°C","2","Малооблачно, кучевые облака","74%","Ю","4-6 м/с","765мм.рт.ст."
"4","6 Октября","воскресенье","6","Снеговая падь","16°C","15°C","3","Пасмурно","82%","Зап.","3 м/с","765мм.рт.ст."
"4","6 Октября","воскресенье","7","Дальхимпром","17°C","15°C","2","Малооблачно, кучевые облака","73%","Ю","4-5 м/с","765мм.рт.ст."
"4","6 Октября","воскресенье","8","Лазурная","17°C","17°C","3","Пасмурно","79%","ЮЗ","2-3 м/с","765мм.рт.ст."
"4","6 Октября","воскресенье","9","Нейбута","17°C","15°C","2","Малооблачно, кучевые облака","73%","Ю","4-5 м/с","765мм.рт.ст."
"4","6 Октября","воскресенье","10","Баляева","16°C","15°C","3","Пасмурно","82%","Зап.","3 м/с","765мм.рт.ст."
"4","6 Октября","воскресенье","11","Луговая","16°C","16°C","3","Пасмурно","85%","Зап.","1-2 м/с","765мм.рт.ст."
"4","6 Октября","воскресенье","12","Чуркин","16°C","15°C","3","Пасмурно","82%","СЗ","3 м/с","765мм.рт.ст."
"4","6 Октября","воскресенье","13","Тихая","16°C","15°C","3","Пасмурно","82%","Ю","3 м/с","765мм.рт.ст."
"4","6 Октября","воскресенье","14","Попова и Рейнеке","16°C","16°C","2","Малооблачно, кучевые облака","86%","Ю","1-3 м/с","765мм.рт.ст."
"4","6 Октября","воскресенье","15","Русский","16°C","16°C","3","Пасмурно","86%","СВ","1-2 м/с","765мм.рт.ст."
"4","6 Октября","воскресенье","16","Эгершельд","16°C","15°C","3","Пасмурно","82%","СЗ","3 м/с","765мм.рт.ст."
"4","6 Октября","воскресенье","17","Первая речка","16°C","15°C","3","Пасмурно","82%","СЗ","3 м/с","765мм.рт.ст."
"4","6 Октября","воскресенье","18","Центр","16°C","16°C","3","Пасмурно","85%","СЗ","1-2 м/с","765мм.рт.ст."
"4","6 Октября","воскресенье","19","Вторая речка","17°C","15°C","2","Малооблачно, кучевые облака","73%","Ю","4-5 м/с","765мм.рт.ст."
