"season","date","weekday","region_num","region_name","temp_real","temp_feel","weather_num","weather_text","humidity","wind_text","wind_speed","pressure"
"4","6 Октября","воскресенье","1","Угольная","11°C","11°C","2","Туман или низкая слоистая облачность","100%","С","1 м/с","767мм.рт.ст."
"4","6 Октября","воскресенье","2","Санаторная","12°C","12°C","2","Малооблачно, кучевые облака","100%","С","1-2 м/с","767мм.рт.ст."
"4","6 Октября","воскресенье","3","Заря","14°C","12°C","2","Туман или низкая слоистая облачность","95%","Ю","3-4 м/с","767мм.рт.ст."
"4","6 Октября","воскресенье","4","Столетия","14°C","12°C","2","Малооблачно, кучевые облака","95%","Ю","3-4 м/с","767мм.рт.ст."
"4","6 Октября","воскресенье","5","БАМ","13°C","12°C","2","Малооблачно, кучевые облака","96%","Ю","3-4 м/с","767мм.рт.ст."
"4","6 Октября","воскресенье","6","Снеговая падь","13°C","12°C","2","Малооблачно, кучевые облака","99%","Ю","3-4 м/с","767мм.рт.ст."
"4","6 Октября","воскресенье","7","Дальхимпром","14°C","12°C","2","Малооблачно, кучевые облака","95%","Ю","3-4 м/с","767мм.рт.ст."
"4","6 Октября","воскресенье","8","Лазурная","12°C","12°C","2","Малооблачно, кучевые облака","100%","ЮВ","1 м/с","767мм.рт.ст."
"4","6 Октября","воскресенье","9","Нейбута","14°C","12°C","2","Малооблачно, кучевые облака","95%","Ю","3-4 м/с","767мм.рт.ст."
"4","6 Октября","воскресенье","10","Баляева","13°C","12°C","2","Малооблачно, кучевые облака","99%","Ю","3-4 м/с","767мм.рт.ст."
"4","6 Октября","воскресенье","11","Луговая","13°C","14°C","2","Малооблачно, кучевые облака","100%","Ю","1-2 м/с","767мм.рт.ст."
"4","6 Октября","воскресенье","12","Чуркин","13°C","12°C","2","Малооблачно, кучевые облака","99%","Ю","3-4 м/с","767мм.рт.ст."
"4","6 Октября","воскресенье","13","Тихая","13°C","12°C","2","Малооблачно, кучевые облака","99%","Ю","3-4 м/с","767мм.рт.ст."
"4","6 Октября","воскресенье","14","Попова и Рейнеке","17°C","16°C","2","Малооблачно, кучевые облака","88%","ЮЗ","1-3 м/с","767мм.рт.ст."
"4","6 Октября","воскресенье","15","Русский","16°C","17°C","2","Малооблачно, кучевые облака","92%","Ю","1-2 м/с","767мм.рт.ст."
"4","6 Октября","воскресенье","16","Эгершельд","13°C","12°C","2","Малооблачно, кучевые облака","99%","Ю","3-4 м/с","767мм.рт.ст."
"4","6 Октября","воскресенье","17","Первая речка","13°C","12°C","2","Малооблачно, кучевые облака","99%","Ю","3-4 м/с","767мм.рт.ст."
"4","6 Октября","воскресенье","18","Центр","13°C","14°C","2","Малооблачно, кучевые облака","100%","Ю","1-2 м/с","767мм.рт.ст."
"4","6 Октября","воскресенье","19","Вторая речка","14°C","12°C","2","Малооблачно, кучевые облака","95%","Ю","3-4 м/с","767мм.рт.ст."
