num,town,url
1,"Угольная","https://primpogoda.ru/weather/vladivostok/vladivostok_ugolnaya/"
2,"Санаторная","https://primpogoda.ru/weather/vladivostok/vladivostok_sanatornaya/"
3,"Заря","https://primpogoda.ru/weather/vladivostok/vladivostok_zarya/"
4,"Столетия","https://primpogoda.ru/weather/vladivostok/vladivostok_stoletiya/"
5,"БАМ","https://primpogoda.ru/weather/vladivostok/vladivostok_bam/"
6,"Снеговая падь","https://primpogoda.ru/weather/vladivostok/vladivostok_snagovaya_padi/"
7,"Дальхимпром","https://primpogoda.ru/weather/vladivostok/vladivostok_dalhimprom/"
8,"Лазурная","https://primpogoda.ru/weather/vladivostok/shamora/"
9,"Нейбута","https://primpogoda.ru/weather/vladivostok/vladivostok_neybuta/"
10,"Баляева","https://primpogoda.ru/weather/vladivostok/vladivostok_baliayeva/"
11,"Луговая","https://primpogoda.ru/weather/vladivostok/vladivostok_lugovaya/"
12,"Чуркин","https://primpogoda.ru/weather/vladivostok/vladivostok_churkin/"
13,"Тихая","https://primpogoda.ru/weather/vladivostok/vladivostok_tihaya/"
14,"Попова и Рейнеке","https://primpogoda.ru/weather/vladivostok/rejneke/"
15,"Русский","https://primpogoda.ru/weather/vladivostok/ayaks/"
16,"Эгершельд","https://primpogoda.ru/weather/vladivostok/vladivostok_egersheld/"
17,"Первая речка","https://primpogoda.ru/weather/vladivostok/vladivostok_pervaya_rechka/"
18,"Центр","https://primpogoda.ru/weather/vladivostok/vladivostok_central/"
19,"Вторая речка","https://primpogoda.ru/weather/vladivostok/vladivostok_voraya_rechka/"
