время года,дата,день,город,Город цифровое значение,температура +/- C,температура ощущается,погодные условия (dropDown),погодные условия текст,влажность%,Ветер (Dropdown),ветер (м.с),давление
2,03 Апреля,Среда,Угольная,1,+2 °C,-3 °C,2,Малооблачно; кучевые и перистые облака,64%,5,2 м.с.,762 мм.рт.ст. 
2,03 Апреля,Среда,Санаторная,2,+1 °C,-3 °C,2,Малооблачно; кучевые и перистые облака,69%,5,3 м.с.,762 мм.рт.ст. 
2,03 Апреля,Среда,Заря,3,+2 °C,-5 °C,2,Малооблачно; кучевые и перистые облака,61%,5,6 м.с.,762 мм.рт.ст. 
2,03 Апреля,Среда,Столетия,4,+2 °C,-4 °C,2,Малооблачно; кучевые и перистые облака,59%,5,5 м.с.,762 мм.рт.ст. 
2,03 Апреля,Среда,БАМ,5,+2 °C,-5 °C,2,Малооблачно; кучевые и перистые облака,61%,5,6 м.с.,762 мм.рт.ст. 
2,03 Апреля,Среда,Снеговая падь,6,+2 °C,-5 °C,2,Малооблачно; кучевые и перистые облака,61%,5,6 м.с.,762 мм.рт.ст. 
2,03 Апреля,Среда,Дальхимпром,7,+2 °C,-5 °C,2,Малооблачно; кучевые и перистые облака,61%,5,6 м.с.,762 мм.рт.ст. 
2,03 Апреля,Среда,Лазурная,8,+1 °C,-3 °C,2,Малооблачно; кучевые и перистые облака,71%,5,2 м.с.,762 мм.рт.ст. 
2,03 Апреля,Среда,Нейбута,9,+2 °C,-5 °C,2,Малооблачно; кучевые и перистые облака,61%,5,6 м.с.,762 мм.рт.ст. 
2,03 Апреля,Среда,Баляева,10,+2 °C,-5 °C,2,Малооблачно; кучевые и перистые облака,61%,5,6 м.с.,762 мм.рт.ст. 
2,03 Апреля,Среда,Луговая,11,+2 °C,-3 °C,2,Малооблачно; кучевые и перистые облака,70%,5,3 м.с.,762 мм.рт.ст. 
2,03 Апреля,Среда,Чуркин,12,+2 °C,-5 °C,2,Малооблачно; кучевые и перистые облака,61%,5,6 м.с.,762 мм.рт.ст. 
2,03 Апреля,Среда,Тихая,13,+2 °C,-5 °C,2,Малооблачно; кучевые и перистые облака,61%,5,6 м.с.,763 мм.рт.ст. 
2,03 Апреля,Среда,Попова и Рейнеке,14,+2 °C,-2 °C,2,Малооблачно; кучевые облака,82%,5,2 м.с.,762 мм.рт.ст. 
2,03 Апреля,Среда,Русский,15,+2 °C,-2 °C,2,Малооблачно; кучевые и перистые облака,78%,5,3 м.с.,763 мм.рт.ст. 
2,03 Апреля,Среда,Эгершельд,16,+2 °C,-5 °C,2,Малооблачно; кучевые и перистые облака,61%,5,6 м.с.,762 мм.рт.ст. 
2,03 Апреля,Среда,Первая речка,17,+2 °C,-5 °C,2,Малооблачно; кучевые и перистые облака,61%,5,6 м.с.,762 мм.рт.ст. 
2,03 Апреля,Среда,Центр,18,+2 °C,-3 °C,2,Малооблачно; кучевые и перистые облака,70%,5,3 м.с.,762 мм.рт.ст. 
2,03 Апреля,Среда,Вторая речка,19,+2 °C,-4 °C,2,Малооблачно; кучевые и перистые облака,59%,5,5 м.с.,762 мм.рт.ст. 
